# Title: Crysty Pihole blacklist hosts

# LastUpdate: 20 July 2024
# Version 1
# Number of unique domains: 

# Crowdstrike Falcon sensor URL
# Source
# https://www.dell.com/support/kbdoc/en-us/000177899/crowdstrike-falcon-sensor-system-requirements
# EU1 environment
0.0.0.0 ts01-lanner-lion.cloudsink.net
0.0.0.0 lfodown01-lanner-lion.cloudsink.net
0.0.0.0 lfoup01-lanner-lion.cloudsink.net
0.0.0.0 https://assets.falcon.eu-1.crowdstrike.com
0.0.0.0 https://assets-public.falcon.eu-1.crowdstrike.com
0.0.0.0 api.eu-1.crowdstrike.com
0.0.0.0 https://firehose.eu-1.crowdstrike.com

# US-1 environment
0.0.0.0 ts01-b.cloudsink.net
0.0.0.0 lfodown01-b.cloudsink.net
0.0.0.0 lfoup01-b.cloudsink.net
0.0.0.0 https://falcon.crowdstrike.com
0.0.0.0 https://assets.falcon.crowdstrike.com
0.0.0.0 https://assets-public.falcon.crowdstrike.com
0.0.0.0 https://api.crowdstrike.com
0.0.0.0 https://firehose.crowdstrike.com

# US-2 environments:
0.0.0.0 ts01-gyr-maverick.cloudsink.net
0.0.0.0 lfodown01-gyr-maverick.cloudsink.net
0.0.0.0 lfoup01-gyr-maverick.cloudsink.net
0.0.0.0 https://falcon.us-2.crowdstrike.com
0.0.0.0 https://assets.falcon.us-2.crowdstrike.com
0.0.0.0 https://assets-public.us-2.falcon.crowdstrike.com
0.0.0.0 api.us-2.crowdstrike.com
0.0.0.0 https://firehose.us-2.crowdstrike.com

# US-GOV-1 environments:
0.0.0.0 https://ts01-laggar-gcw.cloudsink.net
0.0.0.0 sensorproxy-laggar-g-524628337.us-gov-west-1.elb.amazonaws.com
0.0.0.0 https://lfodown01-laggar-gcw.cloudsink.net
0.0.0.0 ELB-Laggar-P-LFO-DOWNLOAD-1265997121.us-gov-west-1.elb.amazonaws.com
0.0.0.0 https://falcon.laggar.gcw.crowdstrike.com
0.0.0.0 laggar-falconui01-g-245478519.us-gov-west-1.elb.amazonaws.com
0.0.0.0 api.laggar.gcw.crowdstrike.com
0.0.0.0 https://firehose.laggar.gcw.crowdstrike.com
0.0.0.0 falconhose-laggar01-g-720386815.us-gov-west-1.elb.amazonaws.com

# US-GOV-2 environments:
0.0.0.0 ts01-us-gov-2.cloudsink.net
0.0.0.0 lfodown01-us-gov-2.cloudsink.net
0.0.0.0 api.us-gov-2.crowdstrike.com
0.0.0.0 firehose.us-gov-2.crowdstrike.com
